Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year_Extracted,g_q1,g_q3,g_iqr,Is_Outlier
874398,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,204,East New York,Summer 2023,2023-06-01,8.878918851,2023,7.35,10.2425,2.8925,0
878211,386,Ozone (O3),Mean,ppb,UHF42,409,Southeast Queens,Summer 2023,2023-06-01,38.18201497,2023,28.98,33,4.02,0
874909,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2023,2023-06-01,8.936772164,2023,7.35,10.2425,2.8925,0
878124,386,Ozone (O3),Mean,ppb,CD,312,Borough Park (CD12),Summer 2023,2023-06-01,37.22655011,2023,28.98,33,4.02,0
874308,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2023,2023-06-01,9.266873894,2023,7.35,10.2425,2.8925,0
874517,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Summer 2023,2023-06-01,9.767412952,2023,7.35,10.2425,2.8925,0
874888,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,301,Greenpoint and Williamsburg (CD1),Summer 2023,2023-06-01,9.515876207,2023,7.35,10.2425,2.8925,0
874464,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Summer 2023,2023-06-01,9.185954859,2023,7.35,10.2425,2.8925,0
877017,375,Nitrogen dioxide (NO2),Mean,ppb,NA,207,East Flatbush - Flatbush,Summer 2023,2023-06-01,12.02033251,2023,15.75,24.1425,8.392499999999998,0
878149,386,Ozone (O3),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Summer 2023,2023-06-01,35.69245438,2023,28.98,33,4.02,0
877191,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2023,2023-06-01,13.79474138,2023,15.75,24.1425,8.392499999999998,0
877239,375,Nitrogen dioxide (NO2),Mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2023,2023-06-01,10.57451486,2023,15.75,24.1425,8.392499999999998,0
876942,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2023,2023-06-01,19.23269501,2023,15.75,24.1425,8.392499999999998,0
874559,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,409,Southeast Queens,Summer 2023,2023-06-01,8.565150117,2023,7.35,10.2425,2.8925,0
874831,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,404,Elmhurst and Corona (CD4),Summer 2023,2023-06-01,9.011768181,2023,7.35,10.2425,2.8925,0
877011,375,Nitrogen dioxide (NO2),Mean,ppb,NA,205,Sunset Park,Summer 2023,2023-06-01,14.78243138,2023,15.75,24.1425,8.392499999999998,0
874605,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),Summer 2023,2023-06-01,9.337857894,2023,7.35,10.2425,2.8925,0
876936,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2023,2023-06-01,20.33316087,2023,15.75,24.1425,8.392499999999998,0
876939,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,309,Union Square - Lower East Side,Summer 2023,2023-06-01,16.5909254,2023,15.75,24.1425,8.392499999999998,0
876870,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2023,2023-06-01,12.06848595,2023,15.75,24.1425,8.392499999999998,0
878132,386,Ozone (O3),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2023,2023-06-01,33.53542984,2023,28.98,33,4.02,0
878192,386,Ozone (O3),Mean,ppb,NA,210,Coney Island - Sheepshead Bay,Summer 2023,2023-06-01,40.41763987,2023,28.98,33,4.02,1
874834,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,405,Ridgewood and Maspeth (CD5),Summer 2023,2023-06-01,9.103134891,2023,7.35,10.2425,2.8925,0
874458,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Summer 2023,2023-06-01,9.23668133,2023,7.35,10.2425,2.8925,0
876954,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2023,2023-06-01,9.624486798,2023,15.75,24.1425,8.392499999999998,0
878167,386,Ozone (O3),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2023,2023-06-01,28.47102781,2023,28.98,33,4.02,0
877020,375,Nitrogen dioxide (NO2),Mean,ppb,NA,208,Canarsie - Flatlands,Summer 2023,2023-06-01,12.24185059,2023,15.75,24.1425,8.392499999999998,0
877092,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Summer 2023,2023-06-01,19.69490477,2023,15.75,24.1425,8.392499999999998,0
878165,386,Ozone (O3),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2023,2023-06-01,29.949722649999998,2023,28.98,33,4.02,0
878119,386,Ozone (O3),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2023,2023-06-01,34.62553705,2023,28.98,33,4.02,0
877125,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Summer 2023,2023-06-01,14.43067469,2023,15.75,24.1425,8.392499999999998,0
878162,386,Ozone (O3),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,2023-06-01,30.99076311,2023,28.98,33,4.02,0
877131,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2023,2023-06-01,15.26199906,2023,15.75,24.1425,8.392499999999998,0
877161,375,Nitrogen dioxide (NO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Summer 2023,2023-06-01,11.87627055,2023,15.75,24.1425,8.392499999999998,0
876924,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Summer 2023,2023-06-01,15.61856373,2023,15.75,24.1425,8.392499999999998,0
878145,386,Ozone (O3),Mean,ppb,CD,501,St. George and Stapleton (CD1),Summer 2023,2023-06-01,32.37391856,2023,28.98,33,4.02,0
874470,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2023,2023-06-01,9.568039799,2023,7.35,10.2425,2.8925,0
874473,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Summer 2023,2023-06-01,9.463103294,2023,7.35,10.2425,2.8925,0
878181,386,Ozone (O3),Mean,ppb,NA,408,Jamaica,Summer 2023,2023-06-01,37.4206363,2023,28.98,33,4.02,0
878172,386,Ozone (O3),Mean,ppb,NA,105106107,South Bronx,Summer 2023,2023-06-01,32.66163839,2023,28.98,33,4.02,0
877182,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2023,2023-06-01,14.41101052,2023,15.75,24.1425,8.392499999999998,0
874810,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Summer 2023,2023-06-01,8.330674356,2023,7.35,10.2425,2.8925,0
874520,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2023,2023-06-01,9.655789883,2023,7.35,10.2425,2.8925,0
878138,386,Ozone (O3),Mean,ppb,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2023,2023-06-01,36.68773905,2023,28.98,33,4.02,0
877050,375,Nitrogen dioxide (NO2),Mean,ppb,NA,403,Flushing - Clearview,Summer 2023,2023-06-01,11.19843013,2023,15.75,24.1425,8.392499999999998,0
877236,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2023,2023-06-01,11.33369132,2023,15.75,24.1425,8.392499999999998,0
877095,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2023,2023-06-01,20.14470643,2023,15.75,24.1425,8.392499999999998,0
878215,386,Ozone (O3),Mean,ppb,UHF42,405,Ridgewood - Forest Hills,Summer 2023,2023-06-01,35.74608194,2023,28.98,33,4.02,0
874392,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,206,Borough Park,Summer 2023,2023-06-01,8.616311108,2023,7.35,10.2425,2.8925,0
874368,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,3,Manhattan,Summer 2023,2023-06-01,9.34171697,2023,7.35,10.2425,2.8925,0
878152,386,Ozone (O3),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2023,2023-06-01,32.06602493,2023,28.98,33,4.02,0
877260,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,St. George and Stapleton (CD1),Summer 2023,2023-06-01,12.81269171,2023,15.75,24.1425,8.392499999999998,0
876861,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2023,2023-06-01,13.0538783,2023,15.75,24.1425,8.392499999999998,0
878244,386,Ozone (O3),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2023,2023-06-01,34.91689947,2023,28.98,33,4.02,0
877155,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Summer 2023,2023-06-01,11.2618141,2023,15.75,24.1425,8.392499999999998,0
