Year_Extracted,Geo Place Name,Name,Data Value
2022,Coney Island - Sheepshead Bay,Nitrogen dioxide (NO2),18.29529819
2022,Lower Manhattan,Fine particles (PM 2.5),7.293051822
2022,East Flatbush - Flatbush,Nitrogen dioxide (NO2),22.36837297
2022,Washington Heights,Nitrogen dioxide (NO2),20.95317432
2022,Borough Park,Nitrogen dioxide (NO2),22.318317
2022,Greenpoint,Fine particles (PM 2.5),6.968784799
2022,Bensonhurst - Bay Ridge,Fine particles (PM 2.5),5.95217197
2022,Gramercy Park - Murray Hill,Fine particles (PM 2.5),7.942470191
2022,Flushing - Clearview,Nitrogen dioxide (NO2),18.93267515
2022,East New York,Nitrogen dioxide (NO2),22.84562702
2022,East Harlem,Fine particles (PM 2.5),6.519113142
2022,Upper East Side,Fine particles (PM 2.5),6.662258812
2022,Bayside - Little Neck,Fine particles (PM 2.5),5.86387523
2022,Ridgewood - Forest Hills,Fine particles (PM 2.5),6.26223548
2022,Southeast Queens,Fine particles (PM 2.5),5.617699015
2022,Fresh Meadows,Nitrogen dioxide (NO2),19.22358491
2022,Coney Island - Sheepshead Bay,Fine particles (PM 2.5),5.784986933
2022,Borough Park,Fine particles (PM 2.5),6.105061444
2022,Union Square - Lower East Side,Fine particles (PM 2.5),7.590957422
2022,Jamaica,Fine particles (PM 2.5),5.936789674
2022,Southwest Queens,Fine particles (PM 2.5),5.955262927
2022,Bensonhurst - Bay Ridge,Nitrogen dioxide (NO2),21.59935664
2022,Crotona -Tremont,Fine particles (PM 2.5),6.698642289
2022,Pelham - Throgs Neck,Nitrogen dioxide (NO2),19.78791893
2022,Upper West Side,Nitrogen dioxide (NO2),21.43520833
2022,Greenwich Village - SoHo,Nitrogen dioxide (NO2),24.18653719
2022,Gramercy Park - Murray Hill,Nitrogen dioxide (NO2),25.77429464
2022,Kingsbridge - Riverdale,Nitrogen dioxide (NO2),17.89722521
2022,Ridgewood - Forest Hills,Nitrogen dioxide (NO2),21.96049467
2022,Kingsbridge - Riverdale,Fine particles (PM 2.5),6.579128989
2022,High Bridge - Morrisania,Fine particles (PM 2.5),6.537183143
2022,Upper West Side,Fine particles (PM 2.5),6.434470082
2022,East Harlem,Nitrogen dioxide (NO2),20.16780596
2022,Willowbrook,Nitrogen dioxide (NO2),17.20221576
2022,Port Richmond,Fine particles (PM 2.5),5.872646256
2022,Greenpoint,Nitrogen dioxide (NO2),23.78126415
2022,Union Square - Lower East Side,Nitrogen dioxide (NO2),22.44163958
2022,Southeast Queens,Nitrogen dioxide (NO2),17.64972749
2022,West Queens,Fine particles (PM 2.5),6.665068392
2022,Pelham - Throgs Neck,Fine particles (PM 2.5),6.522234553
2022,East New York,Fine particles (PM 2.5),6.284280262
2022,Central Harlem - Morningside Heights,Fine particles (PM 2.5),6.608280997
2022,Hunts Point - Mott Haven,Fine particles (PM 2.5),6.746809888
2022,Bayside - Little Neck,Nitrogen dioxide (NO2),17.44185147
2022,Jamaica,Nitrogen dioxide (NO2),19.68614922
2022,South Beach - Tottenville,Fine particles (PM 2.5),5.33923052
2022,Upper East Side,Nitrogen dioxide (NO2),22.321757560000002
2022,Downtown - Heights - Slope,Fine particles (PM 2.5),6.801170004
2022,Rockaways,Fine particles (PM 2.5),5.26452039
2022,Fordham - Bronx Pk,Nitrogen dioxide (NO2),18.99476736
2022,Hunts Point - Mott Haven,Nitrogen dioxide (NO2),21.80011208
2022,Crotona -Tremont,Nitrogen dioxide (NO2),21.97406172
2022,Long Island City - Astoria,Nitrogen dioxide (NO2),22.30308226
2022,Northeast Bronx,Fine particles (PM 2.5),6.539495579
2022,Fordham - Bronx Pk,Fine particles (PM 2.5),6.623421932
2022,Flushing - Clearview,Fine particles (PM 2.5),6.233672408
2022,Canarsie - Flatlands,Fine particles (PM 2.5),5.843269135
2022,South Beach - Tottenville,Nitrogen dioxide (NO2),15.74624114
2022,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),20.01117466
2022,Chelsea - Clinton,Fine particles (PM 2.5),8.367823453
2022,Washington Heights,Fine particles (PM 2.5),6.701271742
2022,Long Island City - Astoria,Fine particles (PM 2.5),6.882464971
2022,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),6.433502307
2022,Stapleton - St. George,Fine particles (PM 2.5),5.669842283
2022,Williamsburg - Bushwick,Fine particles (PM 2.5),6.918133058
2022,Fresh Meadows,Ozone (O3),34.22324851
2022,Greenpoint,Nitrogen dioxide (NO2),14.06871488
2022,East Harlem,Nitrogen dioxide (NO2),12.95828058
2022,Port Richmond,Ozone (O3),34.23823801
2022,Rockaways,Nitrogen dioxide (NO2),6.9878077
2022,Bensonhurst - Bay Ridge,Nitrogen dioxide (NO2),9.773626847
2022,Jamaica,Nitrogen dioxide (NO2),10.46984295
2022,West Queens,Fine particles (PM 2.5),6.947133295
2022,Willowbrook,Ozone (O3),34.75444464
2022,East New York,Fine particles (PM 2.5),6.401286506
2022,Williamsburg - Bushwick,Fine particles (PM 2.5),6.9921169
2022,Borough Park,Fine particles (PM 2.5),6.156469785
2022,Union Square - Lower East Side,Fine particles (PM 2.5),7.592961678
2022,Lower Manhattan,Fine particles (PM 2.5),7.359813119
2022,Rockaways,Fine particles (PM 2.5),5.548223949
2022,Canarsie - Flatlands,Nitrogen dioxide (NO2),8.604527294
2022,Northeast Bronx,Ozone (O3),32.19843539
2022,Central Harlem - Morningside Heights,Ozone (O3),30.91161067
2022,Flushing - Clearview,Ozone (O3),34.47607536
2022,Northeast Bronx,Fine particles (PM 2.5),7.076432621
2022,South Beach - Tottenville,Nitrogen dioxide (NO2),6.854871982
2022,Washington Heights,Ozone (O3),29.85341007
2022,Southeast Queens,Nitrogen dioxide (NO2),9.803605923
2022,Greenwich Village - SoHo,Fine particles (PM 2.5),8.043034783
2022,Long Island City - Astoria,Ozone (O3),32.93001894
2022,Washington Heights,Fine particles (PM 2.5),7.231888703
2022,Southwest Queens,Nitrogen dioxide (NO2),9.702181732
2022,Gramercy Park - Murray Hill,Nitrogen dioxide (NO2),19.60382423
2022,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),13.24042398
2022,Downtown - Heights - Slope,Fine particles (PM 2.5),6.911800513
2022,Central Harlem - Morningside Heights,Fine particles (PM 2.5),7.126396863
2022,Fordham - Bronx Pk,Nitrogen dioxide (NO2),11.52139831
2022,Upper East Side,Nitrogen dioxide (NO2),15.18150009
2022,Sunset Park,Nitrogen dioxide (NO2),12.54174934
2022,Ridgewood - Forest Hills,Fine particles (PM 2.5),6.496026238
2022,Sunset Park,Fine particles (PM 2.5),6.696804885
2022,Flushing - Clearview,Fine particles (PM 2.5),6.644860341
2022,Kingsbridge - Riverdale,Nitrogen dioxide (NO2),10.63957234
2022,Greenpoint,Fine particles (PM 2.5),7.186699469
2022,East Flatbush - Flatbush,Ozone (O3),34.89698884
2022,Canarsie - Flatlands,Fine particles (PM 2.5),5.929055364
2022,Gramercy Park - Murray Hill,Fine particles (PM 2.5),7.965107517
2022,Long Island City - Astoria,Nitrogen dioxide (NO2),13.22276301
2022,South Beach - Tottenville,Fine particles (PM 2.5),5.641128028
